Document,Recall,Precision,JS_similairty
06_1398.xml,0.333333333,0.166666667,0.616562901
06_1399.xml,0.5,0.75,0.381936153
06_14.xml,0.375,1,0.4706511
06_140.xml,0.428571429,0.5,0.502269675
06_1400.xml,0.5,0.666666667,0.49830253
06_1401.xml,0.363636364,0.8,0.604032255
06_1402.xml,0,0,0.55877734
06_1403.xml,0.3,0.2,0.613202865
06_1404.xml,0.428571429,0.333333333,0.586777282
06_1405.xml,0.571428571,0.4,0.461453693
06_1406.xml,0.333333333,0.4,0.402172802
06_1407.xml,0.333333333,0.4,0.524688028
06_1408.xml,0.5,0.333333333,0.440220452
06_1409.xml,0.714285714,0.6,0.492804646
06_1410.xml,0.777777778,0.8,0.370558861
06_1411.xml,1,0.833333333,0.517871523
06_1412.xml,0.714285714,0.6,0.586992858
06_1413.xml,0.333333333,0.666666667,0.600341573
06_1414.xml,0.666666667,1,0.476318938
06_1415.xml,0.423076923,0.666666667,0.458292028
06_1416.xml,0.166666667,0.2,0.603189375
06_1417.xml,0.4,0.5,0.522825421
06_1418.xml,0.5,0.25,0.447728451
06_1419.xml,0.333333333,0.666666667,0.614544662
06_1420.xml,0.222222222,0.4,0.500334044
06_1421.xml,0.272727273,0.25,0.513683883
06_1422.xml,0.454545455,0.4,0.423471452
06_1426.xml,1,0.6,0.488940465
06_143.xml,0.222222222,0.5,0.559849363
06_1430.xml,0.2,0.2,0.600370468
06_1431.xml,0.647058824,0.833333333,0.448455846
06_1432.xml,0.666666667,0.25,0.54977748
06_1433.xml,0.5,0.4,0.367297404
06_1434.xml,0.666666667,0.75,0.693147181
06_1435.xml,0.2,0.5,0.649360935
06_1436.xml,0.333333333,0.4,0.494644916
06_1437.xml,0.272727273,0.8,0.433437935
06_1438.xml,0.5,0.666666667,0.409854169
06_1439.xml,0.428571429,0.666666667,0.674843656
06_1442.xml,0.5,0.75,0.44369229
06_1443.xml,0.1,0.111111111,0.607681427
06_1445.xml,0.4,0.4,0.669750586
06_1446.xml,0.5,0.5,0.620729888
06_1447.xml,0.75,1,0.514619102
06_1448.xml,0.5,0.25,0.628391891
06_1449.xml,0.25,0.5,0.617417559
06_1450.xml,0.75,0.666666667,0.454172737
06_1451.xml,0.666666667,0.666666667,0.519823975
06_1452.xml,0.333333333,0.5,0.569026924
06_1453.xml,0.333333333,0.5,0.471710931
06_1454.xml,0.2,0.2,0.536208351
06_1457.xml,0.25,0.25,0.552154509
06_1458.xml,0.666666667,0.5,0.453160659
06_1459.xml,0,0,0.51164402
